Model,Baseline objective,Baseline ROC-AUC,Baseline PR-AUC,Baseline Brier,Tuned objective,Tuned ROC-AUC,Tuned PR-AUC,Tuned Brier,Objective gain,AUC gain,Best parameters
XGBoost,0.8166506615022256,0.7995113051861749,0.77921871111774,0.1810878210320906,0.8180609837755592,0.8004952691728873,0.781491973914856,0.18066663237659875,0.0014103222733335974,0.0009839639867124106,"{""model__colsample_bytree"": 1.0, ""model__gamma"": 0.5, ""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__min_child_weight"": 8, ""model__n_estimators"": 300, ""model__reg_alpha"": 0.0, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.85}"
CatBoost,0.8169029968071391,0.7999448041475637,0.7786660817403889,0.18097177961453548,0.8176628473417362,0.8000382476016386,0.7808691524612237,0.18093790837763743,0.0007598505345971507,9.344345407480414e-05,"{""bagging_temperature"": 0.5, ""border_count"": 64, ""depth"": 5, ""iterations"": 350, ""l2_leaf_reg"": 1.0, ""learning_rate"": 0.02, ""random_strength"": 0.5}"
LightGBM,0.8150233885977878,0.7978242301020853,0.7779270486539224,0.1819020211924004,0.8174802655771999,0.8001564434316466,0.7804043644607447,0.18071224937732697,0.0024568769794121037,0.00233221332956135,"{""model__colsample_bytree"": 0.85, ""model__learning_rate"": 0.02, ""model__max_depth"": 10, ""model__min_child_samples"": 60, ""model__min_split_gain"": 0.01, ""model__n_estimators"": 450, ""model__num_leaves"": 15, ""model__reg_alpha"": 0.1, ""model__reg_lambda"": 5.0, ""model__subsample"": 0.85}"
HistGradientBoosting,0.817314646442777,0.7999385199935398,0.7797059942389066,0.18089779641900067,0.8174593285761415,0.7999351408531883,0.7806632185764193,0.1808777141508258,0.0001446821333644932,-3.3791403515337493e-06,"{""model__l2_regularization"": 0.5, ""model__learning_rate"": 0.08, ""model__max_bins"": 255, ""model__max_depth"": 7, ""model__max_iter"": 220, ""model__max_leaf_nodes"": 15, ""model__min_samples_leaf"": 50}"
Extra Trees,0.8070493100216755,0.7897617602534552,0.7703404734097139,0.18598916428664242,0.8166771404652039,0.7993045207617316,0.779791086594441,0.18123691013188625,0.00962783044352844,0.009542760508276404,"{""model__class_weight"": ""balanced"", ""model__max_depth"": 8, ""model__max_features"": 1.0, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 750}"
Random Forest,0.811931111913009,0.7944393399768636,0.7753502098090856,0.1835224290266238,0.8155934565823828,0.7979623925918607,0.7786665305227527,0.18174038379416813,0.0036623446693737627,0.003523052614997191,"{""model__class_weight"": ""balanced_subsample"", ""model__max_depth"": 16, ""model__max_features"": 0.5, ""model__max_samples"": 0.7, ""model__min_samples_leaf"": 40, ""model__n_estimators"": 300}"
MLP,0.8130126209578452,0.7961387008685217,0.7743728761344363,0.1828246853721928,0.8140772352209316,0.7971562992042864,0.7753982679180238,0.18223406675033532,0.0010646142630863498,0.0010175983357647578,"{""model__activation"": ""relu"", ""model__alpha"": 0.00021544346900318823, ""model__batch_size"": 512, ""model__hidden_layer_sizes"": [128, 64], ""model__learning_rate_init"": 0.0007}"
Logistic regression,0.8102891201515628,0.7944909210084783,0.7724053810588749,0.18431530136546054,0.8104240780504225,0.7945502441336547,0.7725452040183639,0.18424050260826075,0.0001349578988596445,5.9323125176424796e-05,"{""model__C"": 11.859710123376681, ""model__class_weight"": ""balanced""}"
Shrinkage LDA,0.8082767044390671,0.7924668129746528,0.7694024635685478,0.18531198925987583,0.8082767044390671,0.7924668129746528,0.7694024635685478,0.18531198925987583,0.0,0.0,{}
Gaussian NB,0.7622696952565046,0.7777419792379887,0.7459181910943006,0.2583067745547725,0.7622696992535531,0.7777419831890444,0.7459181941278401,0.258306771045859,3.997048581005913e-09,3.951055704831674e-09,"{""model__var_smoothing"": 2.0619860095022193e-07}"
Dummy prevalence,0.5839317495319678,0.4965033157427002,0.49271169953135996,0.24998555481481485,0.5839317495319678,0.4965033157427002,0.49271169953135996,0.24998555481481485,0.0,0.0,{}
